season,date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,is_cup_final,visitor_margin,home_margin,visitor_win,home_win,grouped_date_id,unique_game_id,home_wl,visitor_wl,home_result,visitor_result
2026,2026-05-15,Chicago Sky,83,Phoenix Mercury,91,0,-8.0,8.0,0,1,2523,6700,W,L,W 91-83 vs. Chicago Sky,L 83-91 @ Phoenix Mercury
2026,2026-05-17,Seattle Storm,78,Indiana Fever,89,0,-11.0,11.0,0,1,2524,6701,W,L,W 89-78 vs. Seattle Storm,L 78-89 @ Indiana Fever
2026,2026-05-17,Toronto Tempo,106,Los Angeles Sparks,96,0,10.0,-10.0,1,0,2524,6702,L,W,L 96-106 vs. Toronto Tempo,W 106-96 @ Los Angeles Sparks
2026,2026-05-17,Chicago Sky,86,Minnesota Lynx,79,0,7.0,-7.0,1,0,2524,6703,L,W,L 79-86 vs. Chicago Sky,W 86-79 @ Minnesota Lynx
2026,2026-05-17,Las Vegas Aces,85,Atlanta Dream,84,0,1.0,-1.0,1,0,2524,6704,L,W,L 84-85 vs. Las Vegas Aces,W 85-84 @ Atlanta Dream
2026,2026-05-18,Washington Mystics,69,Dallas Wings,92,0,-23.0,23.0,0,1,2525,6705,W,L,W 92-69 vs. Washington Mystics,L 69-92 @ Dallas Wings
2026,2026-05-18,Connecticut Sun,82,Portland Fire,83,0,-1.0,1.0,0,1,2525,6706,W,L,W 83-82 vs. Connecticut Sun,L 82-83 @ Portland Fire
2026,2026-05-19,Toronto Tempo,98,Phoenix Mercury,90,0,8.0,-8.0,1,0,2526,6707,L,W,L 90-98 vs. Toronto Tempo,W 98-90 @ Phoenix Mercury
2026,2026-05-20,Portland Fire,73,Indiana Fever,90,0,-17.0,17.0,0,1,2527,6708,W,L,W 90-73 vs. Portland Fire,L 73-90 @ Indiana Fever
2026,2026-05-20,Dallas Wings,99,Chicago Sky,89,0,10.0,-10.0,1,0,2527,6709,L,W,L 89-99 vs. Dallas Wings,W 99-89 @ Chicago Sky
2026,2026-05-20,Connecticut Sun,80,Seattle Storm,78,0,2.0,-2.0,1,0,2527,6710,L,W,L 78-80 vs. Connecticut Sun,W 80-78 @ Seattle Storm
2026,2026-05-21,Los Angeles Sparks,97,Phoenix Mercury,88,0,9.0,-9.0,1,0,2528,6711,L,W,L 88-97 vs. Los Angeles Sparks,W 97-88 @ Phoenix Mercury
2026,2026-05-21,Golden State Valkyries,87,New York Liberty,70,0,17.0,-17.0,1,0,2528,6712,L,W,L 70-87 vs. Golden State Valkyries,W 87-70 @ New York Liberty
2026,2026-05-21,Toronto Tempo,72,Minnesota Lynx,100,0,-28.0,28.0,0,1,2528,6713,W,L,W 100-72 vs. Toronto Tempo,L 72-100 @ Minnesota Lynx
2026,2026-05-22,Dallas Wings,69,Atlanta Dream,86,0,-17.0,17.0,0,1,2529,6714,W,L,W 86-69 vs. Dallas Wings,L 69-86 @ Atlanta Dream
2026,2026-05-22,Golden State Valkyries,82,Indiana Fever,90,0,-8.0,8.0,0,1,2529,6715,W,L,W 90-82 vs. Golden State Valkyries,L 82-90 @ Indiana Fever
2026,2026-05-22,Connecticut Sun,59,Seattle Storm,77,0,-18.0,18.0,0,1,2529,6716,W,L,W 77-59 vs. Connecticut Sun,L 59-77 @ Seattle Storm
2026,2026-05-23,Portland Fire,99,Toronto Tempo,80,0,19.0,-19.0,1,0,2530,6717,L,W,L 80-99 vs. Portland Fire,W 99-80 @ Toronto Tempo
2026,2026-05-23,Los Angeles Sparks,101,Las Vegas Aces,95,0,6.0,-6.0,1,0,2530,6718,L,W,L 95-101 vs. Los Angeles Sparks,W 101-95 @ Las Vegas Aces
2026,2026-05-23,Minnesota Lynx,85,Chicago Sky,75,0,10.0,-10.0,1,0,2530,6719,L,W,L 75-85 vs. Minnesota Lynx,W 85-75 @ Chicago Sky
2026,2026-05-24,Dallas Wings,91,New York Liberty,76,0,15.0,-15.0,1,0,2531,6720,L,W,L 76-91 vs. Dallas Wings,W 91-76 @ New York Liberty
2026,2026-05-24,Phoenix Mercury,80,Atlanta Dream,82,0,-2.0,2.0,0,1,2531,6721,W,L,W 82-80 vs. Phoenix Mercury,L 80-82 @ Atlanta Dream
2026,2026-05-24,Washington Mystics,85,Seattle Storm,97,0,-12.0,12.0,0,1,2531,6722,W,L,W 97-85 vs. Washington Mystics,L 85-97 @ Seattle Storm
2026,2026-05-25,Portland Fire,81,New York Liberty,74,0,7.0,-7.0,1,0,2532,6723,L,W,L 74-81 vs. Portland Fire,W 81-74 @ New York Liberty
2026,2026-05-25,Connecticut Sun,70,Golden State Valkyries,97,0,-27.0,27.0,0,1,2532,6724,W,L,W 97-70 vs. Connecticut Sun,L 70-97 @ Golden State Valkyries
2026,2026-05-27,Phoenix Mercury,74,New York Liberty,84,0,-10.0,10.0,0,1,2533,6725,W,L,W 84-74 vs. Phoenix Mercury,L 74-84 @ New York Liberty
2026,2026-05-27,Connecticut Sun,61,Portland Fire,71,0,-10.0,10.0,0,1,2533,6726,W,L,W 71-61 vs. Connecticut Sun,L 61-71 @ Portland Fire
2026,2026-05-27,Toronto Tempo,111,Chicago Sky,104,0,7.0,-7.0,1,0,2533,6727,L,W,L 104-111 vs. Toronto Tempo,W 111-104 @ Chicago Sky
2026,2026-05-27,Atlanta Dream,81,Minnesota Lynx,96,0,-15.0,15.0,0,1,2533,6728,W,L,W 96-81 vs. Atlanta Dream,L 81-96 @ Minnesota Lynx
2026,2026-05-27,Washington Mystics,78,Seattle Storm,64,0,14.0,-14.0,1,0,2533,6729,L,W,L 64-78 vs. Washington Mystics,W 78-64 @ Seattle Storm
2026,2026-05-28,Indiana Fever,88,Golden State Valkyries,90,0,-2.0,2.0,0,1,2534,6730,W,L,W 90-88 vs. Indiana Fever,L 88-90 @ Golden State Valkyries
2026,2026-05-28,Las Vegas Aces,87,Dallas Wings,95,0,-8.0,8.0,0,1,2534,6731,W,L,W 95-87 vs. Las Vegas Aces,L 87-95 @ Dallas Wings
2026,2026-05-29,Phoenix Mercury,68,New York Liberty,75,0,-7.0,7.0,0,1,2535,6732,W,L,W 75-68 vs. Phoenix Mercury,L 68-75 @ New York Liberty
2026,2026-05-29,Atlanta Dream,86,Portland Fire,66,0,20.0,-20.0,1,0,2535,6733,L,W,L 66-86 vs. Atlanta Dream,W 86-66 @ Portland Fire
2026,2026-05-29,Los Angeles Sparks,92,Washington Mystics,87,0,5.0,-5.0,1,0,2535,6734,L,W,L 87-92 vs. Los Angeles Sparks,W 92-87 @ Washington Mystics
2026,2026-05-29,Minnesota Lynx,79,Chicago Sky,58,0,21.0,-21.0,1,0,2535,6735,L,W,L 58-79 vs. Minnesota Lynx,W 79-58 @ Chicago Sky
2026,2026-05-30,Seattle Storm,72,Toronto Tempo,93,0,-21.0,21.0,0,1,2536,6736,W,L,W 93-72 vs. Seattle Storm,L 72-93 @ Toronto Tempo
2026,2026-05-30,Los Angeles Sparks,81,Connecticut Sun,84,0,-3.0,3.0,0,1,2536,6737,W,L,W 84-81 vs. Los Angeles Sparks,L 81-84 @ Connecticut Sun
2026,2026-05-30,Indiana Fever,84,Portland Fire,100,0,-16.0,16.0,0,1,2536,6738,W,L,W 100-84 vs. Indiana Fever,L 84-100 @ Portland Fire
